Time (sec),Velocity (m/s),Force (N)
0,0.077394,0
0.01,-0.030832,0
0.02,-0.023991,2.2104
0.03,-0.020689,2.7433
0.04,0.076146,1.6856
0.05,0.09842,1.5724
0.06,0.11189,1.8469
0.07,0.11231,1.8074
0.08,0.095771,1.6706
0.09,0.35257,1.6209
0.1,0.29961,1.5833
0.11,0.22841,1.512
0.12,0.26126,1.4315
0.13,0.30444,1.3532
0.14,0.30421,1.27
0.15,0.29334,1.1794
0.16,0.38426,1.0843
0.17,0.29492,0.98553
0.18,0.46253,0.88278
0.19,0.28782,0.77638
0.2,0.36958,0.66693
0.21,0.43753,0.55489
0.22,0.40634,0.44064
0.23,0.33017,0.32463
0.24,0.45462,0.20734
0.25,0.41821,0.089223
0.26,0.36921,0
0.27,0.42954,0
0.28,0.44658,0
0.29,0.51741,0
0.3,0.40292,0
0.31,0.39231,0
0.32,0.3812,0
0.33,0.30876,-0.4421
0.34,0.41507,-1.4303
0.35,0.26704,-1.1103
0.36,0.34152,-0.98107
0.37,0.3252,-1.21
0.38,0.36222,-1.3513
0.39,0.16134,-1.3919
0.4,0.32508,-1.457
0.41,0.23141,-1.5408
0.42,0.16984,-1.6085
0.43,0.21035,-1.6636
0.44,0.19803,-1.7154
0.45,0.14005,-1.762
0.46,0.062117,-1.8005
0.47,0.16978,-1.8316
0.48,0.092839,-1.8558
0.49,0.020886,-1.8727
0.5,0.090156,-1.8822
0.51,0.020763,-1.8841
0.52,-0.087842,-1.8787
0.53,-0.020113,-1.8658
0.54,-0.16736,-1.8456
0.55,-0.15653,-1.8181
0.56,-0.12162,-1.7834
0.57,-0.13362,-1.7416
0.58,-0.17495,-1.693
0.59,-0.29865,-1.6377
0.6,-0.18371,-1.5759
0.61,-0.18325,-1.5078
0.62,-0.20862,-1.4339
0.63,-0.31502,-1.3542
0.64,-0.32451,-1.2692
0.65,-0.37273,-1.1792
0.66,-0.32504,-1.0845
0.67,-0.33924,-0.98558
0.68,-0.40324,-0.88272
0.69,-0.33001,-0.77637
0.7,-0.34313,-0.66695
0.71,-0.36105,-0.55489
0.72,-0.43811,-0.44063
0.73,-0.47225,-0.32463
0.74,-0.37592,-0.20734
0.75,-0.33769,-0.089223
0.76,-0.47445,0
0.77,-0.51977,0
0.78,-0.33697,0
0.79,-0.41127,0
0.8,-0.34872,0
0.81,-0.35775,0
0.82,-0.46737,0
0.83,-0.4267,0.4421
0.84,-0.43074,1.4303
0.85,-0.36077,1.1103
0.86,-0.2967,0.98107
0.87,-0.33615,1.21
0.88,-0.42496,1.3513
0.89,-0.23813,1.3919
0.9,-0.27905,1.457
0.91,-0.28034,1.5408
0.92,-0.33965,1.6085
0.93,-0.19209,1.6636
0.94,-0.1741,1.7154
0.95,-0.14433,1.762
0.96,-0.18949,1.8005
0.97,-0.14597,1.8316
0.98,-0.12879,1.8558
0.99,0.033148,1.8727
1,-0.070358,1.8822
1.01,-0.01224,1.8841
1.02,-0.020041,1.8787
1.03,0.096703,1.8658
1.04,0.076978,1.8456
1.05,0.10728,1.8181
1.06,0.17617,1.7834
1.07,0.18794,1.7416
1.08,0.21778,1.693
1.09,0.095363,1.6377
1.1,0.23565,1.5759
1.11,0.29466,1.5078
1.12,0.28449,1.4339
1.13,0.3316,1.3542
1.14,0.41088,1.2692
1.15,0.38429,1.1792
1.16,0.28139,1.0845
1.17,0.31034,0.98558
1.18,0.35858,0.88272
1.19,0.34385,0.77637
1.2,0.38179,0.66695
1.21,0.45531,0.55489
1.22,0.37387,0.44063
1.23,0.39102,0.32463
1.24,0.39715,0.20734
1.25,0.44378,0.089223
1.26,0.46178,0
1.27,0.40188,0
